藥劑名稱,影響用途數,原分類,MRL國際普通名稱,有訂容許量的作物類別數,人工確認(是/否)
"本達快克草",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「克草、快克草」,須逐一拆解",
"汰硫免速隆",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「免速隆」,須逐一拆解",
"滅芬免速隆",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「免速隆」,須逐一拆解",
"甲鋅保淨",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"賽福保淨",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"銅合腐絕",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「腐絕」,須逐一拆解",
"二、四－地胺鹽",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"二、四－地鈉鹽",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"生長寧素",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"傑他賽滅寧",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「賽滅寧」,須逐一拆解",
"畢克草",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「克草」,須逐一拆解",
"普拔草",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"番茄生長素",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"伽瑪賽洛寧",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「賽洛寧」,須逐一拆解",
"合速隆",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"單克素",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"開寧激素",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"氰滿素",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"鋅錳右本達樂",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「本達樂」,須逐一拆解",
"鋅錳本達樂",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「本達樂」,須逐一拆解",
"鋅錳曼普胺",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「曼普胺」,須逐一拆解",
"勃寧激素",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"亞培松",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"百里酚",1,"英文有效成分未對到","(未對到:無線索)","須查官方農藥名稱手冊確認學名",
"左固殺草",1,"英文有效成分未對到","(未對到:疑似混合劑或衍生物)","含已知成分「固殺草」,須逐一拆解",
