中文普通名稱,登記用途數,類型,許可證英文名稱,有效成分(英文),該成分比對結果,對應項目,法規依據,整筆是否全部可對應
"本達快克草",1,"混合劑","BENTAZON + QUINCLORAC","BENTAZON","英文不同但中文通用名相同","本達隆（附表一作 Bentazone）","待釐清：應以中文通用名或英文名為準","是"
"本達快克草",1,"混合劑","BENTAZON + QUINCLORAC","QUINCLORAC","附表一有訂容許量","快克草（Quinclorac）","","是"
"汰硫免速隆",1,"混合劑","DITHIOPYR + BENSULFURON METHYL","DITHIOPYR","附表一有訂容許量","汰硫草（Dithiopyr）","","是"
"汰硫免速隆",1,"混合劑","DITHIOPYR + BENSULFURON METHYL","BENSULFURON METHYL","附表一有訂容許量","免速隆（Bensulfuron-methyl）","","是"
"滅芬免速隆",1,"混合劑","MEFENACET + BENSULFURONMETHYL","MEFENACET","附表一有訂容許量","滅芬草（Mefenacet）","","是"
"滅芬免速隆",1,"混合劑","MEFENACET + BENSULFURONMETHYL","BENSULFURONMETHYL","附表一有訂容許量","免速隆（Bensulfuron-methyl）","","是"
"銅合腐絕",1,"混合劑","THIABENDAZOLE + COPPER HYDROXIDE","THIABENDAZOLE","附表一有訂容許量","腐絕（Thiabendazole）","","否"
"銅合腐絕",1,"混合劑","THIABENDAZOLE + COPPER HYDROXIDE","COPPER HYDROXIDE","查無對應","","","否"
"傑他賽滅寧",1,"單一成分","ZETA-CYPERMETHRIN","ZETA-CYPERMETHRIN","查無對應","","","否"
"畢克草",1,"單一成分","CLOPYRALID","CLOPYRALID","查無對應","","","否"
"伽瑪賽洛寧",1,"單一成分","GAMMA-CYHALOTHRIN","GAMMA-CYHALOTHRIN","查無對應","","","否"
"鋅錳右本達樂",1,"混合劑","MANCOZEB + BENALAXYL-M","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","否"
"鋅錳右本達樂",1,"混合劑","MANCOZEB + BENALAXYL-M","BENALAXYL-M","查無對應","","","否"
"鋅錳本達樂",1,"混合劑","MANCOZEB + BENALAXYL","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"鋅錳本達樂",1,"混合劑","MANCOZEB + BENALAXYL","BENALAXYL","附表一有訂容許量","本達樂（Benalaxyl）","","是"
"鋅錳曼普胺",1,"混合劑","MANCOZEB + MANDIPROPAMID","MANCOZEB","法規備註已涵蓋","二硫代胺基甲酸鹽類","註一","是"
"鋅錳曼普胺",1,"混合劑","MANCOZEB + MANDIPROPAMID","MANDIPROPAMID","附表一有訂容許量","曼普胺（Mandipropamid）","","是"
"左固殺草",1,"單一成分","glufosinate-P","glufosinate-P","查無對應","","","否"
"果收生長素",1,"英文名欄位為空","","","英文名欄位為空","","","否"
"伏滅鼠",1,"單一成分","FLOCOUMAFEN","FLOCOUMAFEN","查無對應","","","否"
"可滅鼠",1,"單一成分","BRODIFACOUM","BRODIFACOUM","查無對應","","","否"
"含毒甲基丁香油",1,"單一成分","METHYL EUGENOL-NALED","METHYL EUGENOL-NALED","查無對應","","","否"
