"作物","藥劑","防治對象數","成分逐一判定","作物歸類","人工確認(是/否)","備註"
"菊科乾豆類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","乾豆類","",""
"黑婆羅門參","鋅錳座賽胺","2","MANCOZEB=查無對應(標準與免訂清單皆無此成分(法規狀態未定,已去函食藥署)) | ZOXAMIDE=不得檢出候選(標準有此成分(29 列),但本作物/分類/通用列皆查無)","根莖菜類","",""
"葡萄","克熱淨","1","IMINOCTADINE TRIACETATE=不得檢出候選(經對照總表(中文通用名→Guazatine);標準有此成分(1 列),但本作物/分類/通用列皆查無)","MRL 同名+小漿果類","",""
"葫蘆科小葉菜類","可芬諾","2","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","小葉菜類","",""
"鼠李科梨果類","克熱淨","1","IMINOCTADINE TRIACETATE=不得檢出候選(經對照總表(中文通用名→Guazatine);標準有此成分(1 列),但本作物/分類/通用列皆查無)","梨果類","",""
"蓮霧","嘉賜快得寧","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | OXINE-COPPER=有容許量(小漿果類 2ppm)","MRL 同名+小漿果類","",""
"蓮霧","嘉賜貝芬","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | CARBENDAZIM=通用列待確認(標準有通用列:其他小漿果類(草莓及葡萄除外)、其他果菜類(洛神葵除外)、其他柑桔類(檸檬除外)、其他香辛植物(果實)(胡椒除外)、其他核果類(芒果除外)、其他乾豆類(油菜籽、落花生、大豆除外)、其他堅果類(澳洲胡桃除外)、其他梨果類(印度棗及櫻桃除外)、其他(蔬果類)*、其他(穀類)*、其他(茶類)*)","MRL 同名+小漿果類","",""
"蓮霧","嘉賜銅","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | COPPER OXYCHLORIDE=免訂(列於免訂容許量清單)","MRL 同名+小漿果類","",""
"蔥科小葉菜類","可芬諾","1","CHROMAFENOZIDE=不得檢出候選(標準有此成分(97 列),但本作物/分類/通用列皆查無)","小葉菜類","",""
"蔥科小葉菜類","嘉賜銅","1","KASUGAMYCIN=不得檢出候選(標準有此成分(16 列),但本作物/分類/通用列皆查無) | COPPER OXYCHLORIDE=免訂(列於免訂容許量清單)","小葉菜類","",""
